ticker,config,target,silence,min_vol,dir_thresh,vol_ratio,kappa,rows,metric_name,metric_value
NVDA,s0p5_v50_d0p8_r0p1_k0p5,cls_1m,0.5,50,0.8,0.1,0.5,1382968,AUC,0.6534146903340599
NVDA,s0p5_v50_d0p8_r0p1_k0p5,cls_5m,0.5,50,0.8,0.1,0.5,1382968,AUC,0.6192703306745121
NVDA,s0p5_v50_d0p8_r0p1_k0p5,cls_10m,0.5,50,0.8,0.1,0.5,1382968,AUC,0.5895562808582407
NVDA,s0p5_v50_d0p8_r0p1_k0p5,cls_close,0.5,50,0.8,0.1,0.5,1382968,AUC,0.5127169863417966
NVDA,s0p5_v50_d0p8_r0p1_k1p0,cls_1m,0.5,50,0.8,0.1,1.0,1374063,AUC,0.6536725453447465
NVDA,s0p5_v50_d0p8_r0p1_k1p0,cls_5m,0.5,50,0.8,0.1,1.0,1374063,AUC,0.614300051342426
NVDA,s0p5_v50_d0p8_r0p1_k1p0,cls_10m,0.5,50,0.8,0.1,1.0,1374063,AUC,0.5929892578993223
NVDA,s0p5_v50_d0p8_r0p1_k1p0,cls_close,0.5,50,0.8,0.1,1.0,1374063,AUC,0.5074206899251468
NVDA,s0p5_v50_d0p8_r0p3_k0p2,cls_1m,0.5,50,0.8,0.3,0.2,1532343,AUC,0.6544517474731625
NVDA,s0p5_v50_d0p8_r0p3_k0p2,cls_5m,0.5,50,0.8,0.3,0.2,1532343,AUC,0.6212337739037563
NVDA,s0p5_v50_d0p8_r0p3_k0p2,cls_10m,0.5,50,0.8,0.3,0.2,1532343,AUC,0.5920610100906987
NVDA,s0p5_v50_d0p8_r0p3_k0p2,cls_close,0.5,50,0.8,0.3,0.2,1532343,AUC,0.5102245817217297
NVDA,s0p5_v50_d0p8_r0p3_k0p5,cls_1m,0.5,50,0.8,0.3,0.5,1527142,AUC,0.6550696362791477
NVDA,s0p5_v50_d0p8_r0p3_k0p5,cls_5m,0.5,50,0.8,0.3,0.5,1527142,AUC,0.6260204524506903
NVDA,s0p5_v50_d0p8_r0p3_k0p5,cls_10m,0.5,50,0.8,0.3,0.5,1527142,AUC,0.5871922381321247
NVDA,s0p5_v50_d0p8_r0p3_k0p5,cls_close,0.5,50,0.8,0.3,0.5,1527142,AUC,0.5078348728598362
NVDA,s0p5_v50_d0p8_r0p3_k1p0,cls_1m,0.5,50,0.8,0.3,1.0,1517985,AUC,0.6534486876595126
NVDA,s0p5_v50_d0p8_r0p3_k1p0,cls_5m,0.5,50,0.8,0.3,1.0,1517985,AUC,0.623582373171124
NVDA,s0p5_v50_d0p8_r0p3_k1p0,cls_10m,0.5,50,0.8,0.3,1.0,1517985,AUC,0.5941529909529938
