ticker,footprint,footprint15,intensity,hidden_frac,dvol,absCOI,ndays,price,realvol,dollarvol,inst_own,n_analyst,mktcap
AA,2.1479879253112033,2.6570447095435683,62.38174273858921,0.6168088595358835,15817.684647302905,0.2517886391499479,482,35.198084473382856,0.5024920019745233,556752.2003890987,0.83562,12.0,12183891968.0
AAL,2.634247530120482,2.7237978313253013,32.997991967871485,0.9343929827088935,86783.24497991968,0.4935360491840234,498,13.83944759732201,0.4008787989158932,1201032.1712251569,0.71539,23.0,9781885952.0
AAON,4.408337223382046,4.267293528183716,76.78705636743216,0.1032645177863024,13571.937369519834,0.20756829937293014,479,75.72300786336262,0.3702259024438615,1027707.9201532154,0.87693,3.0,8778477568.0
AAPL,0.334413064516129,0.32118459677419353,894.2641129032259,0.6062430029574051,437387.60080645164,0.18952816973936296,496,186.00975529261999,0.220023349969773,81358360.59403422,0.66506,43.0,4786462654464.0
AAXJ,4.512847469879518,7.388034819277109,4.795180722891566,0.7354532741533262,2788.6987951807228,0.8795993237119467,249,65.37866795131139,0.1674025973262246,182321.4125463426,,,
ABNB,1.1600469153225808,1.064094435483871,548.0806451612904,0.2239864531221791,152434.5181451613,0.12978072368139917,496,131.63088577997118,0.38132914485676483,20065090.64689067,0.90624,38.0,83120365568.0
ACN,1.761359513742072,0.5351492389006343,313.90697674418607,0.07419393291572675,52505.579281183935,0.14217134497121733,473,303.38711138044084,0.23972445642279275,15929516.029475117,0.85467005,25.0,85726961664.0
ACWI,-3.061139384965831,-3.8099275854214123,8.740318906605923,0.7706833756235618,6042.831435079726,0.6670376679823011,439,98.00275967552548,0.12420581277477462,592214.1568918292,,,
ACWX,1.0684786192468618,6.073405648535565,2.288702928870293,0.8863833158311523,2160.3598326359834,0.8700698865931809,239,47.161864522298174,0.13161835702023922,101886.597746193,,,
ADBE,1.081435841995842,1.1070113513513513,897.1268191268191,0.042868253474764056,165609.367983368,0.10391831648797117,481,488.72518025716147,0.34203119659272524,80937468.2199461,0.90308,34.0,86798098432.0
ADI,1.0612506471816285,1.0830620876826722,570.3736951983299,0.1338486284342712,119771.70981210856,0.12404298736082466,479,188.77948370070683,0.28837504286634563,22610441.540280737,0.95541,30.0,188371173376.0
ADM,1.07299755186722,0.863613734439834,65.01867219917013,0.5719697062837323,12611.5,0.2727505602938421,482,63.370989554268974,0.28024531881702885,799203.2347636631,0.87459,10.0,42084442112.0
ADP,0.7042933195020747,0.7914898132780083,372.08298755186723,0.10444307930997865,61540.86099585062,0.1577610856335427,482,231.79568652925036,0.18685621597907892,14264906.12413436,0.92872,15.0,97183391744.0
ADSK,1.5687273858921162,1.6418511203319504,377.07053941908714,0.07065571051984511,71019.85892116182,0.14637689103071674,482,230.97257146926154,0.29176652703256795,16403639.440404922,0.99472,32.0,42968059904.0
AEM,1.6486750829875518,0.47674572614107885,39.97095435684647,0.5779965299315865,6443.390041493776,0.36042669134436045,482,57.57599248976935,0.30360756951449147,370984.57663770026,0.73149,14.0,73530327040.0
AEP,0.7233279253112033,0.8871401244813278,88.96058091286307,0.5884962397430566,19270.58091286307,0.2688326942900698,482,80.63264199393136,0.19659424052416638,1553837.851761975,0.84097,21.0,72404058112.0
AES,0.928469397089397,0.3456760498960499,15.432432432432432,0.9240595482145982,9201.654885654885,0.46521675819453795,481,16.962907896496002,0.3544256513128926,156086.82432070628,0.89624,8.0,10597523456.0
