file,ticker,target,patch,execution_mode,signal_mode,position_sizing,raw_bursts,filtered_bursts,valid_bursts,trades,longs,shorts,cum_pnl_raw,sharpe,signals_eval,signals_long,signals_short,signals_reject,job_id,run_name,trade_rate
JPM_reg_clcl_s2p0_vf1.0002909964246878e-05_d0.8948677353397435_r0.3148394057857518_k0.04997578791589263.log,JPM,reg_clcl,phase3-flow-v1-20260409,phase3_flow,direction,fixed shares per trade = 1.0,1715393,659699,627222,471,296,175,101.83,1.33,471,296,175,0,12892692,phase3_clcl,1.0
MS_reg_clcl_s2p0_vf0.000834603832377626_d0.9040003598652198_r0.01575874706009664_k0.23932493814272882.log,MS,reg_clcl,phase3-flow-v1-20260409,phase3_flow,direction,fixed shares per trade = 1.0,1306410,34218,32965,469,48,421,0.39,0.01,471,48,421,2,12892692,phase3_clcl,0.9957537154989384
NVDA_reg_clcl_s1p0_vf0.0007955625106750042_d0.6260078772819889_r0.479122690193159_k0.7258905759978211.log,NVDA,reg_clcl,phase3-flow-v1-20260409,phase3_flow,direction,fixed shares per trade = 1.0,4632789,16194,15602,464,192,272,-1414.05,-0.91,471,192,272,7,12892692,phase3_clcl,0.9851380042462845
TSLA_reg_clcl_s0p5_vf0.002199444466416056_d0.5077245633527208_r0.5619561357849555_k1.84581974658433.log,TSLA,reg_clcl,phase3-flow-v1-20260409,phase3_flow,direction,fixed shares per trade = 1.0,5263150,3333,3173,339,114,225,10.49,0.05,456,114,225,117,12892692,phase3_clcl,0.743421052631579
