day,daily_pnl
20220204,-0.009170709411238705
20220207,0.004898165652410915
20220208,0.005896108243436454
20220209,-0.004172370564547036
20220210,-0.0057771412114943545
20220211,-0.0049901277834120085
20220214,0.0025255530790167994
20220215,-0.0002864067288333675
20220216,-0.0005930321473887678
20220217,-0.00638093545579384
20220218,-0.0005085207517542242
20220222,-0.002712191807008281
20220223,-0.003376004515341175
20220224,0.0016958636028046878
20220225,-0.0005776317043070953
20220228,4.7511712188083985e-05
20220301,-0.005120229153346474
20220302,-0.00143959003209786
20220303,-0.004392207560876291
20220304,0.00045753974092747836
20220307,-0.005559277815172513
20220308,0.0012770254330232676
20220309,0.0013486090864933398
20220310,0.0015661880819020095
20220311,0.0002965913418139578
20220314,0.005027547122107115
20220315,0.003173964669524975
20220316,0.0009646798922223066
20220317,-0.0004864630737994222
20220318,0.008767173332509433
20220321,-0.0018721340750599016
20220322,0.004303312465570847
20220323,-0.0006057735627210879
20220324,-0.001759423297099854
20220325,-0.006342328819263756
20220328,0.003617302721236011
20220329,0.001982805452483972
20220330,-0.0026512690845542156
20220401,-0.0022682904842951076
20220404,0.0017725819359402728
20220405,-0.0027156756887423586
20220406,0.00030862972870860186
20220407,-0.002464192706894047
20220408,-0.0011070053876637862
20220411,0.00014370929741023547
20220412,-0.002315096510624032
20220413,-0.0014519148487466653
20220414,-0.0022585812037934075
20220418,-0.0020336845983427577
20220419,-0.0013857518193666606
20220420,-0.003612236515455022
20220421,-0.00047384819557844365
20220422,-0.0013987888511337145
20220425,-0.001286219132832546
20220426,-0.003822280528183414
20220427,-0.000800714565113229
20220428,0.0024777498282158657
20220429,0.0013032950624230252
20220502,0.004327715448191797
20220503,0.0034950459197622768
20220504,0.003802993256181528
20220505,-0.000399080100860198
20220506,0.0003303638044008657
20220509,0.0020891734096251434
20220510,0.00126013133568294
20220511,0.0004798315140563881
20220512,0.006146229222767627
20220513,0.0071808651640410314
20220516,-0.0021658831732123073
20220517,-0.0001165514794930881
20220518,0.0060928106364163915
20220519,0.005270175759222399
20220520,0.001365362269989779
20220523,-0.002706027619019451
20220524,7.452950914210402e-05
20220525,-0.00460289201167848
20220526,-0.002085160745989391
20220527,-0.0022927200641401245
20220531,0.006242705574210771
20220601,0.000175747118531874
20220602,0.002215337065437099
20220603,-0.0032645460593480283
20220606,-0.0006917905555734608
20220607,0.00011951499537694511
20220608,0.006827309746024949
20220609,-0.00047282637117684287
20220610,0.003416800869390477
20220613,0.0027677957660756213
20220614,0.006099690737510375
20220616,-0.0010848240763771055
20220617,0.0007555019781438785
20220621,0.004810996838960327
20220622,0.0033569545226182673
20220623,-0.004953817444224852
20220624,-0.0015789159269231914
20220627,-0.0030857968475672907
20220628,0.0007193307247662585
20220629,0.0002605898357427449
20220630,-0.0019745172912569646
20220701,0.000991860975402057
20220705,0.002543844312767896
20220706,-0.0007563272049859604
20220707,-0.0002403954627731428
20220711,-0.0031601261935434244
20220712,0.009628323571237135
20220713,0.0014693212821327273
20220714,-0.0006063520021183292
20220715,0.006858739428081862
20220718,0.00405606451452235
20220719,0.001282397821011323
20220720,-0.0027311364752108575
20220721,-0.0041213458107819505
20220722,0.0021428693930087496
20220725,-0.001524972579169491
20220726,-0.001412328300709577
20220727,-0.0009722239065002949
20220728,-0.004017473710168076
20220729,0.00020487325472411417
20220801,0.003684747654623858
20220802,0.0031533479764282776
20220803,0.007659825505449682
20220804,0.000743557666029023
20220805,-0.00015148594514986853
20220808,-0.001390162869008819
20220809,-0.0038454442914505342
20220810,-0.0020734755019897284
20220811,-0.00038960546808342576
20220812,0.0013631023688471444
20220815,0.003926234807014916
20220816,0.002734797200852506
20220817,-0.0031661086993629265
20220818,-0.004461539064351506
20220819,-0.003326591685853031
20220822,-0.003409508246515144
20220823,0.000544515353982478
20220824,0.004258308065894382
20220825,-0.002759202472601172
20220826,0.004746737974717925
20220829,0.0018287611737734188
20220830,0.0013581430000678123
20220831,0.0035733953834278585
20220901,0.0018214248363259966
20220902,-0.0057019853401087655
20220906,-0.0020374826246007116
20220907,0.00417297836478331
20220908,-0.003475690951782909
20220909,0.0009832522855765706
20220912,0.004848774165458641
20220913,0.0008562671548853446
20220914,-0.0020961426007670577
20220915,0.007364671694882424
20220916,0.001355856708515212
20220919,0.002069283815186225
20220920,-0.0009581711983885976
20220921,-0.0018803260525021206
20220922,0.002847863544656261
20220923,0.00421787265907342
20220926,0.036969648985101765
20220927,-0.006618043349771589
20220928,-0.000769582818444462
20220929,-3.695808705609213e-05
20220930,-0.00015520431986140262
20221003,-0.00039970412860678583
20221004,0.004115770393030678
20221005,-0.002427111536485432
20221006,-0.0008378338196434198
20221007,0.001625818894300189
20221010,-0.005505200912380443
20221011,0.0022489478318667463
20221012,-0.0013694548802716839
20221013,0.0004333533200653525
20221014,-0.0020304781134548515
20221017,-0.0025320243119453666
20221018,8.136589388143933e-05
20221019,-0.003428701590968656
20221020,0.0022867904374202948
20221021,-0.0013160536082794873
20221024,-0.005992875628604615
20221025,0.004290261134192549
20221026,0.0013560826906582222
20221027,-0.005899292259394167
20221028,-0.0016943051769132123
20221031,-0.0007826697798748722
20221101,0.006899742233594111
20221102,0.0025627589707415037
20221103,0.003333117986058059
20221104,0.008033048167756353
20221107,0.0016822067982045473
20221108,0.0019794829113511303
20221109,-0.000768768034332415
20221110,-0.003106991668001324
20221111,0.01106957915426795
20221114,0.0034853949728110363
20221115,0.0072309474527024456
20221116,-0.006218480054118207
20221117,0.006300700365541806
20221118,-0.003488556225538599
20221121,-0.007276184642558133
20221122,-0.007309103525297921
20221123,0.0037121372621898782
20221125,-0.0008795576376587451
20221128,0.00534654564303463
20221129,0.009301039168379847
20221130,0.014478047665589525
20221201,0.0017074642679419253
20221202,0.007828715540777237
20221205,0.007168857326942794
20221206,0.004010543222440803
20221207,-0.0029806667763001824
20221208,0.005531335583137302
20221209,0.0005297838765107763
20221212,-0.010873148769941254
20221213,-0.004680478824135443
20221214,-0.0012074526548102825
20221215,-0.004911349514118602
20221216,0.004312279704288821
20221219,0.0011014732201956924
20221220,-0.0003875926189937532
20221221,0.004916599067825613
20221222,0.0002694484805273718
20221223,-0.003253701186927038
20221227,-0.0014078760776870401
20221228,0.004320464018583244
20221229,0.0029858977743422513
20221230,-0.0005975448103878449
20230103,0.009026825246167193
20230104,0.007922608456893158
20230105,0.007881310504741654
20230106,-0.0003929245323022449
20230109,0.001334484785819667
20230110,0.0030242869307536818
20230111,0.0014965934843554514
20230112,0.002110179289273627
20230113,0.0009385992411065227
20230117,-0.004363368112722542
20230118,-0.00043666966380501686
20230119,-0.0011883873131723164
20230120,0.0007009938655107901
20230123,0.0055103696235330995
20230124,-0.0009644443444207287
20230125,0.004845662601348344
20230126,0.003371354916535756
20230127,0.008630040867514385
20230130,-0.0030990314929321815
20230131,-0.0030115640713580124
20230201,0.004845477753737054
20230202,0.00031365459530174276
20230203,-0.002518580009001825
20230206,0.003264837484723099
20230207,-0.0019040666456350017
20230208,-0.0026527978276455434
20230209,-0.0017248178421910706
20230210,-0.011413970970797827
20230213,0.0008992145926131079
20230214,0.0022006317064251655
20230215,0.003820445544238155
20230216,0.0022723918894342427
20230217,0.0049066565401771145
20230221,0.002353249529340277
20230222,-0.0025242642384708212
20230223,-0.002641576631498614
20230224,-0.005142025074545995
20230227,0.001979057605210658
20230228,0.004589965311217037
20230301,-0.003796519514309573
20230302,-0.003319677447053429
20230303,0.002427190017746159
20230306,0.0015859737888005753
20230307,-0.0038449074074684607
20230308,0.00019771533927312427
20230309,0.002483932050308391
20230310,0.0058014985455790945
20230313,-0.001799410914796918
20230314,-0.000560842257692473
20230315,-0.0032224118170697917
20230316,0.0029132424486835603
20230317,0.00541142121855116
20230320,0.0010171745080497841
20230321,0.0008703926709302149
20230322,0.005560769485851108
20230323,0.003918763992822148
20230324,-0.0009752873270740223
20230327,0.0014672527820053455
20230328,-0.0002185075902507811
20230329,0.005928489177001104
20230330,0.003949654868230992
20230331,-0.0013175891991348116
20230403,-0.002202901504096572
20230404,0.001064966382142594
20230405,0.0010430404837834936
20230406,0.0013277469740346332
20230410,-0.0014718302406538952
20230411,0.0019889034822154223
20230412,-0.0019721766079682985
20230413,0.0015312491185136994
20230414,-8.332849268233971e-05
20230417,0.0007965018457300531
20230418,0.0016028400370620291
20230419,-0.006928307512504565
20230420,-0.005526131251644853
20230421,0.0019461503738101783
20230424,-0.0038046704546586562
20230425,0.0024827668908820495
20230426,0.00414869767118317
20230427,0.004987739055361121
20230428,0.0015206895637816065
20230501,-0.0027175268181034305
20230502,0.002254763066173892
20230503,0.002206629097399582
20230504,-0.0002454596402330694
20230505,0.0025350823944127166
20230508,0.0052838748509489546
20230509,-0.004573064374167331
20230510,-0.002944244146824796
20230511,0.003583587020987284
20230512,-0.0015784002660956709
20230515,-0.00013210048034098553
20230516,-0.002325875828127476
20230517,0.0038042699974046635
20230518,-0.0012926860880147252
20230519,0.0016332766526241437
20230522,0.0045044803334589115
20230523,-0.0023432181724405607
20230524,0.00011291029949554799
20230525,0.0009731191546480935
20230526,0.0024519679036029227
20230530,0.00046891147937254705
20230531,0.0010503302597832881
20230601,0.0022849308903741656
20230602,0.0018250767638837155
20230605,0.00044173988617358283
20230606,0.0008681151168202432
20230607,0.0009072995416256934
20230608,0.001516359325530454
20230609,0.004442062142996224
20230612,0.0034081945091138533
20230613,0.003767447729688464
20230614,0.0028757835287142124
20230615,0.0014704101701270783
20230616,-0.0006545987709905059
20230620,-0.0008617217757279348
20230621,-0.0007871782278891188
20230622,-0.0027205084386219907
20230623,-0.0021452752740005764
20230626,-0.004368155233157891
20230627,0.009197094386411302
20230628,0.0064893804335855
20230629,0.0016358020170483736
20230630,0.0015597533042884387
20230703,0.007554348009980956
20230705,-0.00032394707990945323
20230706,-0.0013156503369358761
20230707,0.0022218725897096936
20230710,0.004827709281689001
20230711,0.002935578751145699
20230712,0.002841904251727154
20230713,-0.0025591965784351983
20230714,-0.0034208638107168527
20230717,-0.0008410595756556251
20230718,-0.0008573249497021375
20230719,0.0037645711410728977
20230720,-0.001951496735806718
20230721,0.0001740764135559684
20230724,0.007380068115782747
20230725,-0.0041515360394469925
20230726,0.0011981777254072151
20230727,-0.004321816840275083
20230728,0.004637956971036115
20230731,0.004931539022870214
20230801,-0.008383099172788651
20230802,-0.0005123362364724623
20230803,0.004078222609814058
20230804,-0.0007503066918604803
20230807,-0.0028465052837132565
20230808,0.0037834642616041926
20230809,-0.003890525548747949
20230810,0.004177825759384096
20230811,-0.0011719417649066965
20230814,-0.003464101133229938
20230815,-0.0003420394079381785
20230816,-4.73509163500334e-06
20230817,-0.0007093633628178144
20230818,-0.003488206838361956
20230822,-0.00026734220953488326
20230823,-0.004014970833533744
20230824,0.001669490643057871
20230825,0.00036188442052066054
20230828,0.0009019816917090976
20230829,0.003297651850843024
20230830,0.004045892997634157
20230831,-0.0005252242113143169
20230901,-0.00038791411734158675
20230905,0.003554402127778064
20230906,-0.006713807730005002
20230907,-0.0022984373771143527
20230908,-0.0006620976084257218
20230911,-0.0002673553493349729
20230912,0.0027625870838497574
20230913,-0.0011606167852849117
20230914,0.0016178674725095179
20230915,6.811136396165919e-05
20230918,-0.0038328183380672625
20230919,0.00023204325131797167
20230920,-0.0003670417027920405
20230921,0.000661889990423375
20230922,-0.0019042443447152464
20230925,-0.000513459395361149
20230926,0.00581525301832989
20230927,0.003849352680462691
20230928,0.004002808166991711
20230929,-0.0011923619086110946
20231002,0.003747151804146925
20231003,-0.0022688353629770172
20231004,0.0059909570682773125
20231005,-0.0009161940088944405
20231006,-0.0015156385921546512
20231009,-0.00337361507654433
20231010,0.0030495366387769036
20231011,0.0024946709848974818
20231012,0.00019960072607167433
20231013,-0.004270018158118629
20231016,0.002078769526316014
20231017,-0.0011184522125011643
20231018,-0.003241471980473339
20231019,-0.0018785728782651212
20231020,-0.00106108185559961
20231023,0.0004683277684852668
20231024,-0.0029900366315394034
20231025,0.0023165806650143855
20231026,0.002739361455546202
20231027,-0.004988478626129129
20231030,0.003506164391500771
20231031,0.0019969395758493067
20231101,0.004395696930835868
20231102,0.008813200200801983
20231103,-0.00024407559515780017
20231106,-0.0025923555097917103
20231107,0.0012018417698012422
20231108,-1.3090936430005112e-05
20231109,-0.004302506469600353
20231110,-0.0006096543017936003
20231113,0.0026713597249937394
20231114,0.002082234003891848
20231115,0.0033939366334595697
20231116,0.0005537607308553161
20231117,-0.0002608240837157014
20231120,0.0012752794635981007
20231121,0.0001649713446503887
20231122,-0.0036383242992765134
20231124,-0.0002661329309692637
20231127,0.0017526761557033648
20231128,0.0032542516144112984
20231129,0.00033154934472026806
20231130,0.0023805893686068796
20231201,0.0014609924973535623
20231204,0.0011580048121921339
20231205,0.0029953825104943473
20231206,0.0033470533437630445
20231207,0.0018980381311601896
20231208,0.001383265576282359
20231211,0.0001386465154107764
20231212,2.74624757298438e-05
20231213,-0.0010195189322833318
20231214,0.00687566294203813
20231215,-0.005807783296148322
20231218,0.0023503581729810608
20231219,-0.0007769524538835706
20231220,-0.0025775724161900444
20231221,0.0024714036608703277
20231222,-0.004510384126797535
20231226,0.0022463287197021665
20231227,0.000953916495135996
20231228,-0.0007605226517137262
20231229,0.00010623021430176246
20240102,-0.002334407288476611
20240103,-0.0009317164660176523
20240104,0.0024452678120296507
20240105,0.0013272314866990744
20240108,-0.0020679915972068486
20240109,-0.0024979158212343616
20240110,-0.002707154352800683
20240111,0.000877292579649807
20240112,-0.007902699680594472
20240116,-0.003014939664528025
20240117,-0.0021439950239978247
20240118,-0.002214105544495679
20240119,-0.0028166171973926313
20240122,-0.0012985532601337477
20240123,0.006105574576220602
20240124,-0.002471065933050815
20240125,-0.0008220288532947138
20240126,-0.0010542347971871885
20240129,0.007359297814848251
20240130,0.001420058645944065
20240131,0.00020255160267337708
20240201,-0.0029869518774089596
20240202,0.0009925467757067748
20240205,-0.002450461849022609
20240206,0.006877856716866717
20240207,-0.007118304080287445
20240208,-0.004931591863385437
20240209,-0.0018752795611732933
20240212,-0.0005543589152232672
20240213,0.0020520415914155885
20240214,0.004344209081991165
20240215,0.005728054702914328
20240216,0.0012982194639653334
20240220,0.004605156342487955
20240221,0.005137018514762194
20240222,-0.0032974203193891294
20240223,-0.0045074120883188615
20240226,0.0038413739895744336
20240227,0.004158206952244277
20240228,-0.007112023428379833
20240229,0.005514556119884788
20240301,0.0004909181373916112
20240304,-0.0036991794694673473
20240305,0.0016625954636533674
20240306,0.00022969552738338274
20240307,0.0009760148641577818
20240308,0.0009640852394897171
20240311,-0.0033488894294856986
20240312,0.0007028509209487644
20240313,-0.004641555267521065
20240314,-0.005676151471730772
20240315,0.0028458020443118816
20240318,0.001848048992020086
20240319,-0.004015205154013005
20240320,0.001080567241890903
20240321,-0.006271802962276018
20240322,-0.004412688310637978
20240325,0.0014903006730496234
20240326,-0.0035452562396815234
20240327,0.001551658171109182
20240328,-0.0038633137381443123
20240401,0.0021502661455600606
20240402,-0.0017126558868295516
20240403,0.0020255572747662222
20240404,-0.001413044568779177
20240405,-0.0035301074787566582
20240408,0.002645449849431841
20240409,0.00646709764740861
20240410,0.0003005813520283117
20240411,-0.0032572172524827606
20240412,-0.0004937523303820053
20240415,-0.0015351718601568315
20240416,-0.0034639586491792347
20240417,0.0040546572829366495
20240418,0.0036079227041126176
20240419,0.0002773213921136443
20240422,-0.0026957066340474157
20240423,0.0006152888279830718
20240424,0.0039022746051668835
20240425,0.0009667732254500487
20240426,0.003910428713002162
20240429,0.0015925244965528558
20240430,-0.0012797980912583155
20240501,-0.0010746689288805547
20240502,0.010590999220273659
20240503,0.0029551872611723777
20240506,0.003098971618679006
20240507,-0.0030948563853871276
20240508,-0.0015806432787126652
20240509,-0.0003503123257117569
20240510,0.00365294695028676
20240513,0.012747282409731086
20240514,0.0027699109337035077
20240515,-0.007460249469053743
20240516,0.0006147708047138115
20240517,-0.0006641472527076329
20240520,-0.0030402715941714033
20240521,-0.0009073573739836617
20240522,0.00831577668993176
20240523,-0.009673146563509368
20240524,0.004412967926827496
20240528,-0.0020862234020615038
20240529,-0.0003039488285214026
20240530,0.011596237372611794
20240531,-0.000666855635499746
20240603,-0.000908252171613821
20240604,0.002034412262795062
20240605,-0.00034454408784369273
20240606,-7.121823610234289e-05
20240607,-0.0014183517694949111
20240610,-0.002066309975652981
20240611,-0.0003263528203740278
20240612,-0.001102592004869734
20240613,0.00013680362283370368
20240614,-0.0017237170500510736
20240617,0.004759469540921293
20240618,-0.0015912560644462002
20240620,-0.003599080665641103
20240621,0.0012708761286965807
20240624,-0.0023370054323250404
20240625,0.0016746186628986506
20240626,0.008949439639180178
20240627,-0.003059935527223992
20240628,-0.0007802320794246301
20240701,0.007338421330067751
20240702,0.003207462829782136
20240703,0.002028392512300676
20240705,-0.0031057951389909665
20240708,0.0029623461563334495
20240709,0.0033544151564611343
20240710,0.001366247961446934
20240711,-0.004105802270136902
20240712,0.008529660651958188
20240715,-0.0068236449908202395
20240716,0.005112371560224817
20240717,-0.004114413354545079
20240718,-0.001189784717884161
20240719,-0.0020200989859913234
20240722,0.0004567775731911272
20240723,-0.005839159526355029
20240724,-0.0038546470752011588
20240725,-0.0004023466571198653
20240726,0.0024939990881684033
20240729,-0.0041366375112945565
20240730,0.00043954397836432275
20240731,-0.0009563702930617679
20240801,-0.00346970298971881
20240802,-0.0012661421808183118
20240806,-0.007811510107953058
20240807,-0.0005209021746621212
20240808,0.008224846117175878
20240809,-0.0019436728968827961
20240812,-0.004462080014314697
20240813,-4.929188253905484e-06
20240814,-0.003248174677733397
20240815,0.006296311417485967
20240816,-0.0019723147138497395
20240819,5.9641199302552584e-05
20240820,-0.0011289418862591215
20240821,0.0025129663310627204
20240822,0.0007514205285355679
20240823,0.0026659524217743313
20240826,0.0015426711612565793
20240827,-0.0001673093733446246
20240828,-0.007644326020277919
20240829,0.0034756464467484076
20240830,0.0015009417669130851
20240903,0.00322700796842011
20240904,0.0018498169305688989
20240905,0.0015575479086439778
20240906,-0.0010090886986112394
20240909,0.001849622998587857
20240910,-0.0003841245816624717
20240911,0.004121300596648329
20240912,-0.00026291876408693354
20240913,-0.00010693877271897745
20240916,-0.0011195722335830144
20240917,-0.004342027019572592
20240918,-0.005093845728075423
20240919,0.002458600352071013
20240920,-0.0045989864420201915
20240923,0.0031587615367368433
20240924,0.00901952027237305
20240925,0.0004741563122247534
20240926,0.006747155680518811
20240927,0.0027498460121942246
20240930,-0.004286789549641888
20241001,0.0026532397787153135
20241002,0.005752841582019012
20241003,0.00043702618207708575
20241004,0.0021205719601519414
20241007,0.0032167912597158644
20241008,-0.006351693710953348
20241009,-0.0006966286231395236
20241010,-0.0020240885636290474
20241011,0.00046868242947853547
20241014,-0.0004494457177355736
20241015,-0.005883018627776965
20241016,0.003365284457497261
20241017,-0.008282803813900558
20241018,0.00277711232689746
20241021,0.00031637741147087225
20241022,0.0034105977166889595
20241023,-0.0008634072815930451
20241024,0.004306670895077424
20241025,0.006956888470111605
20241028,0.007559804702246734
20241029,-0.004634410517579895
20241030,0.0006221830653811325
20241031,-0.0020274984296997146
20241101,0.00038990777671023117
20241104,-0.0005613398061409224
20241105,-0.0006908966002464533
20241106,-0.0026279656340564258
20241107,0.00952089627826553
20241108,0.004455619371597723
20241111,0.003247418315304711
20241112,-0.00914341379396684
20241113,0.004422339726595961
20241114,-0.004054139886241922
20241115,0.00014997011592871292
20241118,0.0014279156836161852
20241119,-0.0009832272304023948
20241120,0.0025267778039656827
20241121,-0.001733520407572504
20241122,0.0024104341972533408
20241125,0.004853342132226376
20241126,-0.004008555780015888
20241127,0.007580522422463066
20241129,0.0005107197892756748
20241202,0.001756556394706943
20241203,0.0009992410992728262
20241204,-0.0015009881977322722
20241205,0.004814807742693176
20241206,0.003154169522285194
20241209,0.010633688042681649
20241210,-0.0009751456895092494
20241211,-0.004824713231609828
20241212,0.00016689469194676907
20241213,-0.0015495984064953648
20241216,-0.002601131552296154
20241217,0.004061386934226443
20241218,-0.00011879522709681094
20241219,0.0011040785818060277
20241220,0.003053774555696274
20241223,0.001129618196540387
20241224,0.0005599933799097051
20241226,0.0007466067763426837
20241227,-0.0033232962679919506
20241230,-0.00314385535157029
20250102,0.1526020189910491
20250103,0.006067399427468023
20250106,0.0008643364135115922
20250107,-0.001071370390043068
20250108,-0.0068968186973035975
20250110,0.00306215219997241
20250113,0.0008692578085888044
20250114,-0.0022481765811639
20250115,0.0008377548010772242
20250116,0.00016951457857340338
20250117,0.0014285222001482452
20250121,-0.008342913406451989
20250122,-0.0035699740386022556
20250123,-0.000658141597071585
20250124,0.0035166380211766775
20250127,-0.0008605120387495666
20250128,-0.0025325524188510194
